Stronghold log 
 
Logged at: 20:13:10   Active
Logged at: 20:13:11   redraw 1
Logged at: 20:13:11   redraw 5
Logged at: 20:13:11   Reset
Logged at: 20:13:11   redraw 1
Logged at: 20:13:11   redraw 5
Logged at: 20:13:11   redraw 1
Logged at: 20:13:11   redraw 5
Logged at: 20:13:11   redraw 1
Logged at: 20:13:11   redraw 5
Logged at: 20:13:11   redraw 1
Logged at: 20:13:11   redraw 5
Logged at: 20:13:11   redraw 1
Logged at: 20:13:11   redraw 5
Logged at: 20:13:11   redraw 1
Logged at: 20:13:12   redraw 5
Logged at: 20:13:12   redraw 1
Logged at: 20:13:12   redraw 5
Logged at: 20:13:12   GFX mem used: 627568
Logged at: 20:13:12   redraw 1
Logged at: 20:13:12   redraw 5
Logged at: 20:19:50   Inactive
